school_name,team_id,logo_url,local_path,filename
Missouri State,454,https://s3.amazonaws.com/cstest/teams/CMYKBearHead_.jpg.220x220_q95.jpg,school_logos/Missouri_State_454.jpg,Missouri_State_454.jpg
Monmouth,10007454,https://s3.amazonaws.com/cstest/teams/Monmouth.jpg.220x220_q95.jpg,school_logos/Monmouth_10007454.jpg,Monmouth_10007454.jpg
Mount Saint Mary's (MD),544,https://s3.amazonaws.com/cstest/mb/2018/07/6943ac53-7c61-40.jpeg.220x220_q95.jpg,school_logos/Mount_Saint_Marys_MD_544.jpg,Mount_Saint_Marys_MD_544.jpg
NJIT,443,https://s3.amazonaws.com/cstest/mb/2016/10/header_logo.png.220x220_q95.png,school_logos/NJIT_443.png,NJIT_443.png
Niagara,434,https://s3.amazonaws.com/cstest/mb/2025/08/60624961-8bcb-4916-bde0-cdc062d0cd40.jpg.220x220_q95.jpg,school_logos/Niagara_434.jpg,Niagara_434.jpg
NC State,394,https://s3.amazonaws.com/cstest/teams/block_s_logo.jpeg.220x220_q95.jpg,school_logos/NC_State_394.jpg,NC_State_394.jpg
NKU,10039851,https://s3.amazonaws.com/cstest/mb/2023/11/18efefdd-27ed-47ac-b45b-0603efe053fa.jpg.220x220_q95.jpg,school_logos/NKU_10039851.jpg,NKU_10039851.jpg
Northwestern,401,https://s3.amazonaws.com/cstest/teams/401/northwestern-university-logo.gif.220x220_q95.jpg,school_logos/Northwestern_401.jpg,Northwestern_401.jpg
Oakland,21,https://s3.amazonaws.com/cstest/mb/2021/08/9154c975-ae5f-4beb-8352-538446669ea6.jpg.220x220_q95.jpg,school_logos/Oakland_21.jpg,Oakland_21.jpg
Ohio State,393,https://s3.amazonaws.com/cstest/teams/393/ohio-state-university-logo.jpg.220x220_q95.jpg,school_logos/Ohio_State_393.jpg,Ohio_State_393.jpg
Old Dominion,410,https://s3.amazonaws.com/cstest/teams/80-olddominion1.gif.220x220_q95.jpg,school_logos/Old_Dominion_410.jpg,Old_Dominion_410.jpg
Penn State,82,https://s3.amazonaws.com/cstest/teams/80-pennstate.gif.220x220_q95.jpg,school_logos/Penn_State_82.jpg,Penn_State_82.jpg
Princeton,477,https://s3.amazonaws.com/cstest/teams/80-princeton.gif.220x220_q95.jpg,school_logos/Princeton_477.jpg,Princeton_477.jpg
Providence,479,https://s3.amazonaws.com/cstest/teams/479.gif.220x220_q95.png,school_logos/Providence_479.png,Providence_479.png
Purdue,27,https://s3.amazonaws.com/cstest/teams/27/purdue-university-logo.gif.220x220_q95.jpg,school_logos/Purdue_27.jpg,Purdue_27.jpg
Queens (NC),9415,https://s3.amazonaws.com/cstest/mb/2024/01/5e668307-cf1f-438d-9224-26e027381439.jpg.220x220_q95.jpg,school_logos/Queens_NC_9415.jpg,Queens_NC_9415.jpg
