school_name,team_id,event,rank,time,swimmer,year,meet
Incarnate Word,154,100 Back,1,49.86,Logan Graham,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Back,2,49.98,Tristan Clark,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Back,3,50.06,Caleb Rojas,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Back,4,50.33,Domantas Trota,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Back,5,51.34,Armando Apigna Castellanos,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Breast,1,56.51,Yassen El Sherrif,,Trinity v UIW
Incarnate Word,154,100 Breast,2,58.63,Luke Philpot,,UTRGV vs UIW
Incarnate Word,154,100 Breast,3,59.03,Tristan Clark,,UTRGV vs UIW
Incarnate Word,154,100 Breast,4,1:02.06,Seth Lackey,,Trinity v UIW
Incarnate Word,154,100 Fly,1,48.54,Luis de oliveira,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Fly,2,49.12,Ahmed Tork,,TCU vs UIW
Incarnate Word,154,100 Fly,3,49.55,Hatem ElSayed,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Fly,4,49.74,Cheston/Lucas Francis,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Fly,5,49.83,Caleb Rojas,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Fly,6,49.92,Miguel Ribiero,,SMU v OCU v UIW v UNT
Incarnate Word,154,100 Fly,7,51.02,Miguel Ribeiro,,UIW vs. Sothwestern
Incarnate Word,154,100 Fly,8,51.86,Logan Graham,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Fly,9,51.96,Carson Smith,,TCU vs UIW
Incarnate Word,154,100 Fly,10,52.15,Armando Apigna Castellanos,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Free,1,42.91,Luis de oliveira,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Free,2,44.86,Domantas Trota,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Free,3,46.17,Cheston/Lucas Francis,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Free,4,46.55,Derek Montoya,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Free,5,47.00,Logan Graham,,UTRGV vs UIW
Incarnate Word,154,100 Free,6,47.44,Miguel Ribiero,,SMU v OCU v UIW v UNT
Incarnate Word,154,100 Free,7,48.33,Hatem ElSayed,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Free,8,48.77,Carson Smith,,UIW vs. Sothwestern
Incarnate Word,154,100 Free,9,49.28,Armando Apigna Castellanos,,UIW vs. Sothwestern
Incarnate Word,154,100 Free,10,50.32,Miguel Ribeiro,,Trinity v UIW
Incarnate Word,154,1000 Free,1,9:36.34,Max Likins,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,1000 Free,2,10:00.25,Okay Heper Yildiz,,Trinity v UIW
Incarnate Word,154,1650 Free,1,15:58.07,Max Likins,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,1650 Free,2,16:19.73,Okay Heper Yildiz,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Back,1,1:50.46,Max Likins,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Back,2,1:51.22,Tristan Clark,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Back,3,1:51.63,Seth Lackey,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Back,4,1:52.80,Logan Graham,,SMU v OCU v UIW v UNT
Incarnate Word,154,200 Back,5,1:53.11,Caleb Rojas,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Breast,1,2:05.85,Yassen El Sherrif,,Trinity v UIW
Incarnate Word,154,200 Breast,2,2:12.26,Luke Philpot,,SMU v OCU v UIW v UNT
Incarnate Word,154,200 Breast,3,2:16.49,Seth Lackey,,Trinity v UIW
Incarnate Word,154,200 Fly,1,1:50.52,Hatem ElSayed,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Fly,2,1:51.33,Ahmed Tork,,SMU v OCU v UIW v UNT
Incarnate Word,154,200 Fly,3,1:52.80,Miguel Ribeiro,,UTRGV vs UIW
Incarnate Word,154,200 Fly,4,1:54.59,Carson Smith,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Fly,5,1:55.10,Max Likins,,UTRGV vs UIW
Incarnate Word,154,200 Fly,6,1:57.05,Caleb Rojas,,Trinity v UIW
Incarnate Word,154,200 Fly,7,1:59.29,Seth Lackey,,UIW vs. Sothwestern
Incarnate Word,154,200 Free,1,1:41.78,Luis de oliveira,,Trinity v UIW
Incarnate Word,154,200 Free,2,1:41.89,Miguel Ribiero,,SMU v OCU v UIW v UNT
Incarnate Word,154,200 Free,3,1:42.61,Derek Montoya,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Free,4,1:43.13,Domantas Trota,,TCU vs UIW
Incarnate Word,154,200 Free,5,1:43.52,Carson Smith,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Free,6,1:44.24,Max Likins,,TCU vs UIW
Incarnate Word,154,200 Free,7,1:44.42,Hatem ElSayed,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Free,8,1:46.60,Logan Graham,,UIW vs. Sothwestern
Incarnate Word,154,200 Im,1,1:51.54,Seth Lackey,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Im,2,1:53.62,Tristan Clark,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Im,3,1:54.86,Hatem ElSayed,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Im,4,1:57.01,Yassen El Sherrif,,Trinity v UIW
Incarnate Word,154,200 Im,5,2:08.80,Luke Philpot,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,400 Im,1,4:03.68,Seth Lackey,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,400 Im,2,4:18.01,Okay Heper Yildiz,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,50 Free,1,19.57,Luis de oliveira,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,50 Free,2,20.40,Domantas Trota,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,50 Free,3,20.76,Cheston/Lucas Francis,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,50 Free,4,21.27,Derek Montoya,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,50 Free,5,21.83,Armando Apigna Castellanos,,UTRGV vs UIW
Incarnate Word,154,50 Free,6,22.54,Logan Graham,,UTRGV vs UIW
