school_name,team_id,event,rank,time,swimmer,year,meet
Air Force,337,100 Back,1,54.92,Kai-min Tsuei,,Phill Hansel Invitational
Air Force,337,100 Back,2,55.54,Addy Forbes,,Phill Hansel Invitational
Air Force,337,100 Back,3,55.97,Brynn Bond,,Phill Hansel Invitational
Air Force,337,100 Back,4,56.47,Sadie Hartig,,Phill Hansel Invitational
Air Force,337,100 Back,5,56.85,Eliza Black,,Phill Hansel Invitational
Air Force,337,100 Back,6,57.20,Hanah Sistrunk,,"Air Force vs. Colorado State, New Mexico"
Air Force,337,100 Back,7,57.21,Kylie Landry,,Seattle vs. Air Force
Air Force,337,100 Back,8,58.62,Hanani Dona,,"Air Force vs. Denver, LSU, Wyoming"
Air Force,337,100 Back,9,58.63,Amber Martin,,Phill Hansel Invitational
Air Force,337,100 Back,10,58.87,Ella Rose donlin,,Phill Hansel Invitational
Air Force,337,100 Breast,1,1:01.07,Naomi Furman,,Phill Hansel Invitational
Air Force,337,100 Breast,2,1:03.01,Mandy Fleetwood,,Gary Ota Memorial Invite
Air Force,337,100 Breast,3,1:03.01,Maeve Linscott,,Phill Hansel Invitational
Air Force,337,100 Breast,4,1:04.62,Reagan Kampschror,,Gary Ota Memorial Invite
Air Force,337,100 Breast,5,1:06.57,Jessie McNeil,,Phill Hansel Invitational
Air Force,337,100 Breast,6,1:08.34,Jordan Evans,,Front Range Invite
Air Force,337,100 Breast,7,1:10.64,Kat Putchinski,,Front Range Invite
Air Force,337,100 Breast,8,1:11.52,Ella Rudik,,Front Range Invite
Air Force,337,100 Fly,1,55.10,Amber Martin,,Phill Hansel Invitational
Air Force,337,100 Fly,2,55.13,Natalie Doig,,Phill Hansel Invitational
Air Force,337,100 Fly,3,55.35,Ryan Mills,,Phill Hansel Invitational
Air Force,337,100 Fly,4,55.40,Hannah Le,,Phill Hansel Invitational
Air Force,337,100 Fly,5,56.64,Lily Bachl,,Phill Hansel Invitational
Air Force,337,100 Fly,6,56.69,Jena Nowoswiat,,Phill Hansel Invitational
Air Force,337,100 Fly,7,57.00,Abigail Hardy,,Seattle vs. Air Force
Air Force,337,100 Fly,8,57.48,Mandy Fleetwood,,Gary Ota Memorial Invite
Air Force,337,100 Fly,9,57.48,Addison Fuchs,,Phill Hansel Invitational
Air Force,337,100 Fly,10,57.59,Maeve Linscott,,Phill Hansel Invitational
Air Force,337,100 Free,1,49.92,Ryan Mills,,Phill Hansel Invitational
Air Force,337,100 Free,2,50.05,Lily Larson,,Phill Hansel Invitational
Air Force,337,100 Free,3,51.12,Lily Bachl,,Phill Hansel Invitational
Air Force,337,100 Free,4,51.54,Amber Martin,,Phill Hansel Invitational
Air Force,337,100 Free,5,51.72,Hannah Seal,,AIR FORCE
Air Force,337,100 Free,6,51.77,Natalie Doig,,AIR FORCE
